#Velocity(km/s)	FluxDensity(Jy)
142.299	-4.010
143.357	-0.524
144.415	0.641
145.474	3.272
146.532	3.065
147.590	-2.023
148.649	-1.894
149.707	3.868
150.765	-4.253
151.824	-2.191
152.882	-2.283
153.940	-3.849
154.999	-10.082
156.057	3.316
157.115	-1.457
158.173	-2.113
159.232	-0.767
160.290	0.381
161.348	4.535
162.407	0.456
163.465	4.349
164.523	0.799
165.582	-3.440
166.640	0.771
167.698	-0.068
168.756	2.645
169.815	-2.875
170.873	0.317
171.931	-0.230
172.990	-0.746
174.048	2.364
175.106	-1.122
176.165	-0.511
177.223	-2.731
178.281	-6.728
179.340	-0.696
180.398	-0.677
181.456	-0.355
182.514	-0.208
183.573	-2.875
184.631	1.910
185.689	-3.699
186.748	-1.005
187.806	1.925
188.864	-2.697
189.923	-1.357
190.981	0.668
192.039	4.421
193.097	-3.375
194.156	-3.106
195.214	7.520
196.272	2.354
197.331	-1.422
198.389	-1.737
199.447	0.340
200.506	1.775
201.564	0.808
202.622	1.507
203.681	1.187
204.739	-5.193
205.797	-0.459
206.855	-3.389
207.914	0.348
208.972	-0.722
210.030	2.394
211.089	1.285
212.147	4.087
213.205	-1.676
214.264	-6.347
215.322	6.605
216.380	-3.456
217.438	-7.285
218.497	-2.557
219.555	2.421
220.613	-5.439
221.672	-0.380
222.730	-3.240
223.788	0.463
224.847	-0.253
225.905	-0.278
226.963	2.192
228.022	0.498
229.080	-2.262
230.138	-1.080
231.196	-4.264
232.255	1.603
233.313	-2.971
234.371	-4.951
235.430	-0.296
236.488	-5.329
237.546	0.377
238.605	-1.732
239.663	-5.560
240.721	-2.240
241.780	-0.390
242.838	0.572
243.896	0.673
244.954	-0.924
246.013	-1.605
247.071	-6.813
248.129	-0.835
249.188	-5.043
250.246	-6.403
251.304	-5.547
252.363	-1.577
253.421	-4.742
254.479	-0.709
255.537	4.345
256.596	2.926
257.654	-3.072
258.712	1.794
259.771	-1.270
260.829	3.413
261.887	0.180
262.946	1.009
264.004	-6.476
265.062	-3.048
266.121	-3.685
267.179	1.641
268.237	-5.552
269.295	-1.268
270.354	1.404
271.412	-1.509
272.470	4.011
273.529	0.770
274.587	1.847
275.645	0.366
276.704	-2.774
277.762	-3.571
278.820	-7.195
279.878	-1.432
280.937	-1.058
281.995	-0.537
283.053	-2.325
284.112	2.663
285.170	-1.259
286.228	0.348
287.287	3.930
288.345	1.462
289.403	-3.369
290.462	-2.054
291.520	5.678
292.578	-1.722
293.636	-1.952
294.695	-5.356
295.753	-6.010
296.811	2.521
297.870	3.698
298.928	-2.989
299.986	-1.902
301.045	-2.507
302.103	4.223
303.161	0.224
304.219	2.370
305.278	3.614
306.336	-0.293
307.394	3.546
308.453	0.347
309.511	1.383
310.569	-0.941
311.628	-3.157
312.686	0.347
313.744	2.372
314.803	-0.582
315.861	11.312
316.919	1.028
317.977	2.872
319.036	1.918
320.094	-4.723
321.152	-0.373
322.211	0.144
323.269	3.989
324.327	1.132
325.386	-4.321
326.444	-2.521
327.502	-3.857
328.560	-3.089
329.619	0.932
330.677	1.473
331.735	0.963
332.794	2.456
333.852	1.309
334.910	4.429
335.969	-2.432
337.027	0.689
338.085	-2.158
339.144	-1.434
340.202	3.617
341.260	1.183
342.318	-5.203
343.377	-1.005
344.435	-0.190
345.493	0.881
346.552	-2.125
347.610	1.235
348.668	-3.542
349.727	4.588
350.785	-1.307
351.843	7.200
352.901	2.994
353.960	-0.716
355.018	-3.136
356.076	-3.735
357.135	2.943
358.193	-0.870
359.251	5.282
360.310	-3.184
361.368	-0.293
362.426	3.779
363.485	0.391
364.543	9.183
365.601	1.462
366.659	0.312
367.718	5.251
368.776	2.979
369.834	4.265
370.893	-0.718
371.951	1.647
373.009	3.584
374.068	2.935
375.126	-3.422
376.184	3.121
377.243	-0.307
378.301	4.096
379.359	2.951
380.417	1.471
381.476	1.248
382.534	-4.286
383.592	5.200
384.651	-0.354
385.709	6.695
386.767	-0.227
387.826	3.790
388.884	7.678
389.942	4.032
391.000	3.264
392.059	3.684
393.117	-0.252
394.175	2.994
395.234	-2.787
396.292	4.186
397.350	2.297
398.409	4.222
399.467	0.769
400.525	5.897
401.584	3.555
402.642	6.802
403.700	4.472
404.758	4.663
405.817	2.305
406.875	7.122
407.933	1.216
408.992	2.067
410.050	0.132
411.108	-0.973
412.167	1.514
413.225	3.746
414.283	1.283
415.341	0.081
416.400	3.734
417.458	5.345
418.516	8.705
419.575	0.859
420.633	0.755
421.691	1.404
422.750	-0.059
423.808	-0.893
424.866	6.571
425.925	-2.335
426.983	-1.194
428.041	1.653
429.099	-3.289
430.158	0.756
431.216	5.046
432.274	4.503
433.333	-1.011
434.391	0.886
435.449	3.354
436.508	0.957
437.566	3.975
438.624	-2.190
439.682	-1.540
440.741	4.158
