#Velocity(km/s)	Temperature(K)
-123.606	0.010
-124.559	-0.061
-125.511	-0.144
-126.464	-0.053
-127.416	-0.153
-128.369	-0.134
-129.321	0.025
-130.274	-0.088
-131.226	0.029
-132.179	-0.112
-133.132	-0.099
-134.084	-0.115
-135.037	-0.153
-135.989	0.029
-136.942	-0.045
-137.894	-0.049
-138.847	-0.086
-139.799	-0.188
-140.752	-0.070
-141.704	-0.077
-142.657	-0.123
-143.609	0.013
-144.562	-0.095
-145.514	-0.044
-146.467	0.054
-147.419	0.034
-148.372	-0.158
-149.324	0.024
-150.277	-0.158
-151.229	0.072
-152.182	-0.083
-153.134	-0.061
-154.087	-0.011
-155.039	-0.003
-155.992	0.027
-156.944	-0.083
-157.897	-0.002
-158.850	-0.174
-159.802	0.059
-160.755	-0.035
-161.707	0.132
-162.660	-0.013
-163.612	-0.009
-164.565	-0.023
-165.517	0.071
-166.470	-0.124
-167.422	-0.000
-168.375	0.115
-169.327	-0.061
-170.280	0.045
-171.232	-0.033
-172.185	-0.031
-173.137	0.009
-174.090	0.087
-175.042	-0.142
-175.995	0.134
-176.947	-0.080
-177.900	-0.019
-178.852	-0.009
-179.805	-0.073
-180.757	-0.073
-181.710	0.019
-182.662	0.089
-183.615	-0.006
-184.568	-0.011
-185.520	0.158
-186.473	0.065
-187.425	0.012
-188.378	-0.053
-189.330	-0.121
-190.283	0.172
-191.235	0.143
-192.188	-0.029
-193.140	-0.010
-194.093	0.057
-195.045	0.102
-195.998	0.050
-196.950	0.130
-197.903	-0.001
-198.855	0.198
-199.808	0.070
-200.760	0.112
-201.713	-0.012
-202.665	0.145
-203.618	-0.027
-204.570	0.010
-205.523	0.143
-206.475	0.102
-207.428	0.079
-208.380	0.071
-209.333	-0.088
-210.286	0.023
-211.238	0.057
-212.191	0.006
-213.143	0.013
-214.096	0.065
-215.048	0.000
-216.001	0.040
-216.953	0.172
-217.906	0.160
-218.858	0.111
-219.811	0.023
-220.763	0.178
-221.716	0.152
-222.668	0.039
-223.621	-0.060
