Wavelength [nm]    Cross section [cm^2]
      2000.96  1.94697e-25
      2001.06  1.92321e-22
      2001.16  2.01178e-23
      2001.26  2.85273e-23
      2001.36  5.02709e-25
      2001.46  1.11793e-26
      2001.56  5.59408e-25
      2001.66  1.08136e-25
      2001.76  6.67917e-27
      2001.86  8.83820e-24
      2001.96  4.10659e-24
      2002.06  2.13808e-24
      2002.16  6.09701e-24
      2002.26  4.43150e-23
      2002.36  1.65008e-25
      2002.46  1.06435e-24
      2002.56  9.37240e-24
      2002.66  1.94234e-24
      2002.76  1.46473e-26
      2002.86  4.05661e-22
      2002.96  1.59342e-24
      2003.06  8.63821e-26
      2003.16  7.16825e-25
      2003.26  2.51120e-24
      2003.36  1.18955e-23
      2003.46  6.98079e-23
      2003.56  2.80792e-26
      2003.66  9.32005e-25
      2003.76  3.85148e-27
      2003.86  2.44313e-24
      2003.96  1.04102e-25
      2004.06  1.44278e-24
      2004.16  2.71279e-24
      2004.26  9.22147e-28
      2004.36  8.72274e-25
      2004.46  1.23461e-22
      2004.56  6.98015e-22
      2004.66  5.73935e-26
      2004.77  5.76525e-26
      2004.87  1.08564e-24
      2004.97  9.96424e-25
      2005.07  3.45397e-25
      2005.17  3.11616e-24
      2005.27  1.37512e-22
      2005.37  2.88874e-26
      2005.47  6.65308e-25
      2005.57  7.97486e-24
      2005.67  3.94917e-25
      2005.77  5.45634e-24
      2005.87  2.43203e-23
      2005.97  6.06562e-25
      2006.07  3.72641e-23
      2006.17  1.17599e-25
      2006.27  1.20397e-25
      2006.37  1.03642e-22
      2006.47  1.06945e-25
      2006.57  2.35052e-25
      2006.67  2.23885e-22
      2006.77  9.60241e-24
      2006.87  6.29556e-24
      2006.97  7.15836e-23
      2007.07  1.02779e-23
      2007.17  8.09571e-23
      2007.27  8.37753e-26
      2007.37  6.15480e-23
      2007.47  2.01195e-23
      2007.57  1.00525e-26
      2007.67  2.88512e-24
      2007.77  8.43998e-24
      2007.87  2.29818e-28
      2007.98  7.18343e-25
      2008.08  2.20204e-24
      2008.18  1.97662e-26
      2008.28  9.47232e-26
      2008.38  4.63760e-26
      2008.48  4.15802e-24
      2008.58  1.62966e-24
      2008.68  4.51114e-23
      2008.78  6.43115e-23
      2008.88  6.51152e-23
      2008.98  2.60555e-24
      2009.08  3.37432e-26
      2009.18  2.70350e-26
      2009.28  1.00932e-23
      2009.38  9.79579e-25
      2009.48  2.91761e-26
      2009.58  3.53031e-25
      2009.68  2.34197e-25
      2009.78  4.84887e-22
      2009.88  6.83252e-27
      2009.98  1.95537e-23
      2010.08  3.07264e-26
      2010.19  1.30970e-26
      2010.29  1.43036e-24
      2010.39  3.07140e-26
      2010.49  1.47608e-24
      2010.59  2.79462e-25
      2010.69  1.23907e-24
      2010.79  2.87064e-25
      2010.89  2.78853e-23
      2010.99  6.23392e-24
      2011.09  1.08595e-26
      2011.19  2.34509e-24
      2011.29  6.49875e-25
      2011.39  3.04505e-25
      2011.49  1.88227e-24
      2011.59  1.96278e-25
      2011.69  6.45995e-26
      2011.79  1.45533e-25
      2011.89  1.33026e-26
      2012.00  3.75574e-24
      2012.10  1.32511e-23
      2012.20  3.84207e-27
      2012.30  6.79934e-25
      2012.40  1.01935e-25
      2012.50  1.01755e-24
      2012.60  1.15076e-24
      2012.70  8.62023e-24
      2012.80  1.92545e-26
      2012.90  1.08423e-25
      2013.00  1.08704e-24
      2013.10  2.29280e-25
      2013.20  4.39089e-25
      2013.30  1.61163e-24
      2013.40  1.05078e-24
      2013.50  2.74898e-24
